,time,x_r,x_w,u_r,u_w,K_ext,a
82,82.0,54.09682682137688,63.875176919742145,29.61796767683891,51.9621321649443,0.5568194853231473,-0.4847287103652347
83,83.0,53.71020464993409,66.72844238684594,26.900663862409058,52.42013684618141,0.5970968593997105,-0.34794006905957997
84,84.0,49.81773127235774,68.39844100176119,34.93867197036891,48.70792870687805,0.5913319918480479,-0.25169313783076297
85,85.0,53.95460316164232,66.57571222903739,28.053053437882628,49.811941282087574,0.6585131574953629,-0.26501524044867864
86,86.0,48.47766185606756,66.49140140617376,28.19888468655558,46.83230760443642,0.6414389383312433,-0.2855139625707549
87,87.0,46.33961071658303,64.3553699198542,31.603529508944035,56.91445207730716,0.7227576870586904,-0.39683567040304124
88,88.0,44.99483900519612,70.43928230531958,35.43631714042168,48.70935389442171,0.647337478293697,-0.31580070784498104
89,89.0,49.639799461451126,67.54074001810093,30.823075288653477,50.701995187008755,0.7428874132685483,-0.26852053937960313
90,90.0,45.367648959020066,67.57341120331145,28.4930992993604,52.714024516092216,0.6908232206390585,-0.4250945898788444
91,91.0,43.31118947817457,69.00432928537577,25.729155978365103,45.47647617631036,0.6502101088564073,-0.29113461860105616
92,92.0,41.52291327955653,64.58855032578879,25.219541576693246,49.675528025442695,0.6654385199099351,-0.2179280748336096
93,93.0,39.76192917507553,65.45676434255196,26.64399209898859,51.00629147324318,0.6115234464549755,-0.33248664823234303
94,94.0,41.50396802501083,66.80308668143898,28.885202761721086,51.77046109503826,0.6504918179366054,-0.3718791819885166
95,95.0,42.89135665762943,67.97664621756145,27.6801691324982,46.544483442148774,0.6675509957285134,-0.452010284770925
96,96.0,42.196790509702495,64.85446234420859,24.013582694287308,53.14276950052975,0.6884583913826527,-0.5214226961003964
97,97.0,38.555700243415565,68.0216157585051,34.07321108978142,44.64394527137587,0.5403445463079046,-0.5354026545101104
98,98.0,48.7843737037729,63.53865445938625,32.87052949965244,52.54223082013075,0.5488521491614421,-0.5096869837137175
99,99.0,53.47507836317196,66.97758633940123,29.86704867309995,55.75264989443096,0.6488001193371477,-0.5314164120397359
100,100.0,49.92338271323402,70.86058872716755,29.676238323552663,50.39353391443192,0.5759170747981901,-0.6293515013737152
101,101.0,50.62619309261559,68.92459069070364,30.934179134431417,50.215717902969665,0.47369591053719823,-0.6035738805183596
102,102.0,56.164133180487305,67.88499442721755,32.50097202002564,47.53506367433126,0.6278119726823551,-0.4054363606998972
103,103.0,54.11477142571423,65.50805347299736,31.651000279903144,50.047927562849154,0.6158490099200274,-0.4446949481906
104,104.0,52.86375395018932,66.15309415569214,26.946093855687298,47.686785794335016,0.5938705105407429,-0.48505518657996555
105,105.0,49.50959573233133,64.79669991705065,26.752378900394373,50.679745374238344,0.620160285832378,-0.46049060008920273
106,106.0,46.56494393247724,66.26156547153606,28.63906291727408,48.24244982075959,0.6003768338973609,-0.46134199435156686
107,107.0,47.078120699520184,65.23885402713306,26.48036938572058,50.060794642800396,0.5174269472107004,-0.463326786141261
108,108.0,48.733861977462965,66.03498548023414,31.094666740688886,52.654013245442535,0.6922125627761032,-0.26777462726417045
109,109.0,46.82905931256597,68.23540983011709,29.025140635535823,48.1043381045289,0.6057561662522745,-0.21271410732839297
110,110.0,47.32269426285401,66.07406895475607,34.44019102754504,50.30039311518562,0.6070410549360024,-0.04749336219608144
111,111.0,51.605448192221395,66.59807326730476,31.499169986862483,46.66305624217211,0.7850918980852915,-0.09085257968874101
112,112.0,45.35914665453996,64.28668790636547,33.823186616981054,52.87878333081308,0.737998269836544,-0.01964022471392958
113,113.0,45.60541255937269,67.56770082740394,30.956637025003175,52.31778975742191,0.7429024637470164,-0.011399347304739103
114,114.0,43.54212154237496,68.72287626936102,30.753704016175107,49.22158265946436,0.7422764260300188,-0.06863286392784324
115,115.0,42.436272378859364,67.09032592484228,27.95409623708135,52.46562190651448,0.6875615627554034,-0.13794813322018354
116,116.0,41.55155112235179,68.60138192218042,28.828206244288943,50.55138708786042,0.7107787522840667,-0.21315419366923316
117,117.0,41.04640947550512,67.96846847434384,27.53144458947307,49.213393032305724,0.706673495737918,-0.307137129458422
118,118.0,39.98879121486401,66.72820745281608,28.571018934250077,52.15935758210517,0.7163163954611269,-0.26566933313211966
119,119.0,39.936235052866266,68.21486891172978,35.7984402698525,51.85603297291736,0.7140917699395277,-0.2614364301559242
120,120.0,45.13948834694437,68.70372572511829,32.328292375747886,45.40493416512658,0.6185896294685593,-0.2607199166819205
121,121.0,48.4247495526013,64.39622466949346,25.893476762791693,54.36537113034006,0.6577701516654754,-0.3341388074905443
122,122.0,44.05825658970841,68.66527358697704,30.399049817182135,55.31143166024074,0.6346186964223737,-0.3855817093423429
123,123.0,45.86395027324077,71.3473937562403,32.60056515926812,50.51604390890188,0.6647071476165403,-0.3413141993931254
124,124.0,47.40859346057599,69.24072826143896,28.790532307394006,55.20031645460507,0.5651284852660552,-0.4542269797242533
125,125.0,48.93535277719372,71.54104849208625,32.56850123940602,49.41556817119913,0.5832403719576963,-0.4855017277176479
126,126.0,51.986877901426666,68.55800721803958,33.84891952288088,56.456581149668494,0.732027031120605,-0.33404056260625536
127,127.0,49.00385663225686,72.10235024307792,32.71587533025155,54.8094381064017,0.5506577876200955,-0.35245615592260565
128,128.0,53.41112217258889,72.61779564738933,26.90102708517399,50.971076733669285,0.6714923479512908,-0.2972360479377607
129,129.0,46.88245586239859,70.16094436236328,33.137505436952644,47.59968740262377,0.6393144228123792,-0.3789376682788183
130,130.0,49.22076696390207,66.62859959826628,28.989526149181973,52.90902252526104,0.5943201470772319,-0.30857942751532347
131,131.0,49.02221241283557,68.69521516286137,31.477772427696628,52.62900731396849,0.6346491150118547,-0.35129812438176755
132,132.0,49.293092570631295,69.47442139858074,28.938491997608622,45.830159016757655,0.6030145873640042,-0.4914625724926425
133,133.0,48.702866010752125,65.05942595437732,30.522839563162396,51.41517895427173,0.6248146466931924,-0.3771331272226748
134,134.0,48.77170921213161,66.90305425664579,25.22356307702247,53.605228282665166,0.5875174443706602,-0.3500848025088425
135,135.0,46.17735618282628,69.31464699616834,30.025940159607632,51.81390001842214,0.6092311225372644,-0.4653011029737315
136,136.0,47.59514851063913,69.19358309426224,27.334953697754692,49.62208392195255,0.624618922916726,-0.38193551666690856
137,137.0,45.81480145170837,67.59442922533538,29.337181957295773,50.546206916546325,0.6837478210082549,-0.28340913009698565
138,138.0,44.37435141327994,67.48917338412686,30.27348744669113,49.133715651628016,0.7081699629793814,-0.20699755233660885
139,139.0,43.54950793230274,66.44575054136828,28.127643531546465,49.953695728405634,0.7324679001587308,-0.14653997251079656
140,140.0,40.87609852032349,66.52973770230862,35.96737199221438,49.41502045230714,0.6693417585130629,-0.15903933970056985
141,141.0,47.150870434624025,66.190446305147,27.303139797165557,50.299468231763264,0.7157061811947554,-0.10673990280585399
142,142.0,42.54929577721173,66.65239537915089,33.31533502182059,53.36188588197193,0.6401414465317914,-0.060935813433746454
143,143.0,47.03808479922366,69.02504995817768,27.387886061147668,57.1891469624516,0.7367881455716779,-0.034439836795484305
144,144.0,41.89438761370109,72.8383339028409,33.91697623203115,41.22144366447869,0.704142349587691,-0.13085261460317604
145,145.0,45.06538514866866,63.40614263066076,28.352400019397592,53.0368451347202,0.6889073409973111,-0.09553677349645667
146,146.0,43.118802244593425,67.26295894910359,30.281161249496115,51.912287979829756,0.7618683408110839,-0.10995787340327956
147,147.0,41.32036160880943,68.29365134328496,27.684272682307267,52.179467011914795,0.8483931423202946,0.20422344995455843
148,148.0,36.35117554502218,68.96847939823023,31.852345247656082,48.24283358109068,0.947065087264931,0.2606116185599744
149,149.0,34.68712923198895,66.51777964222332,31.53307182023011,50.667096719942485,0.8098879178207344,0.3578457185591458
150,150.0,37.045147407215296,67.0656474777738,29.546998898029816,54.348749533403165,0.8342824154730626,0.1923829944436595
151,151.0,36.12338873569464,69.91452616066455,33.96150150933251,46.45024107117584,0.8183757700749116,0.10641169574733393
152,152.0,39.127374489341534,65.70355148081438,31.653249401163155,50.39718725603989,0.7851533856057663,0.090400690587003
153,153.0,39.77323866851355,66.49114898457533,29.74523477144656,53.810960103183405,0.9229166228155112,0.25949453913464865
154,154.0,35.22712900783209,69.26481133986415,33.00910180402697,52.82047296353728,0.6842494706818787,0.18541330736887093
155,155.0,41.67607088646877,69.87817780456305,26.792527242326102,50.857866619671064,0.8297719797195866,0.13266053420837726
156,156.0,36.38317245817001,68.78719594156149,37.57713736848568,50.68070921112573,0.8481867871457706,0.11789039826949853
157,157.0,40.91174886776961,68.14722036756555,29.005619766279647,52.74262268693455,0.6923744369685276,0.1798526955884081
158,158.0,41.401978915905,69.29549668990796,32.68800751094086,50.027029933977616,0.864514129827168,0.15677061618073032
159,159.0,39.323630843533294,67.92745390491142,37.64348355632568,50.06716566925587,0.8543976018394991,0.2061011814562907
160,160.0,42.04363096013225,67.30947218801039,28.464155854686986,50.67712676310201,0.7785489710020225,0.21256194760559144
161,161.0,39.07766124234304,67.44667279986975,33.92622024585778,48.2409967193054,0.7848628191074782,0.13506829693435043
162,162.0,41.33342125519972,65.79763685001957,30.391961635579488,45.15939621530166,0.7542611383179061,-0.07668717799827963
163,163.0,40.78273392217639,62.85074673297164,27.944564507008128,47.88494329083324,0.755055555605888,-0.17368524382417444
164,164.0,38.783097269851275,63.37618750650741,33.807014436254754,49.33331511945336,0.757654338725509,-0.040354195092367026
165,165.0,41.88420108066012,64.64333404847778,29.09950682299042,51.888160145164704,0.8169658909649694,0.08053348011835634
