,time,displacement,velocity,force,friction_0,wind
108,108.0,991.1854255798063,20.146692656342402,207.99999996936677,50.0,0.0
109,109.0,1011.444682050887,20.371483388684048,208.99999996936677,50.0,-0.0
110,110.0,1031.928713530605,20.596238993935472,209.99999996936677,50.0,-0.0
111,111.0,1052.6374738589668,20.820937442115156,210.99999996936677,50.0,0.0
112,112.0,1073.5708949543196,21.045556921023227,211.99999996936677,50.0,-0.0
113,113.0,1094.7288870344871,21.270075842912494,212.99999996936677,50.0,0.0
114,114.0,1116.1113388875183,21.49447285110051,0.0,50.0,-0.0
115,115.0,1137.5047979851483,21.292765410570077,0.0,50.0,0.0
116,116.0,1158.6975025531906,21.0929578432657,0.0,50.0,0.0
117,117.0,1179.6913346718122,20.895014676350744,151.0,50.0,0.0
118,118.0,1200.6386757603107,20.99950534010401,152.0,50.0,0.0
119,119.0,1221.6910187058422,21.10501598989487,153.0,50.0,0.0
120,120.0,1242.849376283134,21.211532201952608,154.0,50.0,0.0
121,121.0,1264.1147468396225,21.31903954570585,155.0,50.0,0.0
122,122.0,1285.488114289378,21.42752358524318,0.0,50.0,-0.0
123,123.0,1306.8149414155453,21.22644871278784,0.0,50.0,0.0
124,124.0,1327.9416406701523,21.02726188393041,0.0,50.0,-0.0
125,125.0,1348.8700824279194,20.829927901212017,151.0,50.0,0.0
126,126.0,1369.7526380528163,20.935020777836712,152.0,50.0,0.0
127,127.0,1390.7407964568306,21.041131058498234,153.0,50.0,0.0
128,128.0,1411.8355678310543,21.14824431602207,154.0,50.0,0.0
129,129.0,1433.0379479354817,21.256346115624368,155.0,50.0,0.0
130,130.0,1454.3489180921356,21.365422016402764,0.0,50.0,0.0
131,131.0,1475.6139372782138,21.16493214914502,0.0,50.0,-0.0
132,132.0,1496.6794081057742,20.966319402341156,151.0,50.0,-0.0
133,133.0,1517.6977227162931,21.070148190440435,152.0,50.0,-0.0
134,134.0,1538.820378751896,21.174999852567243,153.0,50.0,-0.0
135,135.0,1560.0483918766247,21.280859967785837,154.0,50.0,0.0
136,136.0,1581.3827633305164,21.387714109253114,0.0,50.0,0.0
137,137.0,1602.6699693845399,21.187014440073263,0.0,50.0,-0.0
138,138.0,1623.757419239754,20.988195807075837,151.0,50.0,0.0
139,139.0,1644.7975084057312,21.09182108398702,152.0,50.0,0.0
140,140.0,1665.941735934889,21.19647013342826,153.0,50.0,0.0
141,141.0,1687.191118390091,21.302128535144462,154.0,50.0,0.0
142,142.0,1708.546657911012,21.40878186324887,0.0,50.0,-0.0
143,143.0,1729.854832120941,21.20788371590051,0.0,50.0,0.0
144,144.0,1750.96305349817,21.008870311223472,151.0,50.0,0.0
145,145.0,1772.023720819042,21.11230306518158,152.0,50.0,0.0
146,146.0,1793.1883344074192,21.21676044619601,153.0,50.0,-0.0
147,147.0,1814.457911680956,21.322228034572706,0.0,50.0,0.0
148,148.0,1835.6799404292335,21.12214406741338,0.0,50.0,-0.0
149,149.0,1856.7028229290772,20.923929650709148,151.0,50.0,-0.0
150,150.0,1877.6789447617327,21.02815218393299,152.0,50.0,0.0
151,151.0,1898.7598009027147,21.133395866829208,153.0,50.0,0.0
152,152.0,1919.9464052909716,21.239646276890173,154.0,50.0,-0.0
153,153.0,1941.2397574396057,21.34688898516893,0.0,50.0,-0.0
154,154.0,1962.4863310086155,21.146573374662456,0.0,50.0,0.0
155,155.0,1983.533528853144,20.94813163371624,151.0,50.0,0.0
156,156.0,2004.5337402191135,21.05212945872327,152.0,50.0,-0.0
157,157.0,2025.6384616760672,21.157149415216292,153.0,50.0,0.0
158,158.0,2046.848708145212,21.26317708162604,154.0,50.0,0.0
159,159.0,2068.165480122999,21.370198030247316,0.0,50.0,-0.0
160,160.0,2089.4352528803133,21.169663229440424,0.0,50.0,-0.0
161,161.0,2110.5054327681173,20.97100638750008,151.0,50.0,0.0
162,162.0,2131.5284124867485,21.074791591241887,152.0,50.0,0.0
163,163.0,2152.655690142357,21.179599861024116,153.0,50.0,-0.0
164,164.0,2173.8882815910733,21.285416776064512,154.0,50.0,-0.0
165,165.0,2195.2271882652008,21.39222790973252,0.0,50.0,0.0
166,166.0,2216.5188869348726,21.191485729208853,0.0,50.0,0.0
167,167.0,2237.6107872967864,20.992625378438408,151.0,50.0,0.0
168,168.0,2258.6552853407516,21.0962094224717,152.0,50.0,-0.0
169,169.0,2279.80388060655,21.200817421681833,153.0,50.0,-0.0
170,170.0,2301.0575898397497,21.306434955940826,154.0,50.0,-0.0
171,171.0,2322.4174153628855,21.413047599544967,0.0,50.0,-0.0
172,172.0,2343.729835361456,21.212109236192,0.0,50.0,-0.0
173,173.0,2364.842262707997,21.01305636627627,151.0,50.0,-0.0
174,174.0,2385.9070965115616,21.116450116439104,152.0,50.0,0.0
175,175.0,2407.075837665863,21.220868667318246,153.0,50.0,-0.0
176,176.0,2428.3495037622574,21.326297599323766,0.0,50.0,-0.0
177,177.0,2449.5755831664674,21.1261754192891,0.0,50.0,0.0
178,178.0,2470.602478456368,20.927923502220512,151.0,50.0,-0.0
179,179.0,2491.582575543602,21.032108971351338,152.0,50.0,0.0
180,180.0,2512.6673699559906,21.13731575168481,153.0,50.0,-0.0
181,181.0,2533.857875794083,21.243529420875767,154.0,50.0,0.0
182,182.0,2555.1550927327735,21.350735550189736,0.0,50.0,0.0
183,183.0,2576.405494982026,21.150383779225386,0.0,50.0,-0.0
184,184.0,2597.456485673865,20.951906552465765,151.0,50.0,-0.0
185,185.0,2618.4604543622618,21.05586930528562,152.0,50.0,-0.0
186,186.0,2639.568898146517,21.160854343378343,153.0,50.0,-0.0
187,187.0,2660.7828321016755,21.266847245311357,154.0,50.0,-0.0
188,188.0,2682.103256878198,21.3738335835636,0.0,50.0,-0.0
189,189.0,2703.3766482281485,21.173264569764363,0.0,50.0,0.0
190,190.0,2724.4504128119315,20.974574153364518,151.0,50.0,-0.0
191,191.0,2745.4769436486495,21.078326173945328,152.0,50.0,-0.0
192,192.0,2766.6077393125356,21.18310140690791,153.0,50.0,-0.0
193,193.0,2787.8438158061,21.28888543158413,154.0,50.0,-0.0
194,194.0,2809.186174708172,21.39566382150247,0.0,50.0,0.0
195,195.0,2830.4812932356685,21.194889273899275,0.0,50.0,-0.0
196,196.0,2851.5765813885987,20.99599716042142,151.0,50.0,0.0
197,197.0,2872.6244354658315,21.099549812309533,152.0,50.0,-0.0
198,198.0,2893.7763554425414,21.204126558565488,153.0,50.0,0.0
199,199.0,2915.0333582035164,21.309712979155627,154.0,50.0,-0.0
