,time,temperature,displacement,velocity,force,friction_0,wind
659,659.0,37.40619204918102,20043.264390611384,28.790028204319746,235.88766922832372,159.87467725287195,-0.0
660,660.0,36.70798229712064,20072.038404261224,28.758066643682483,236.4197521822366,156.91112166948096,-0.0
661,661.0,37.2850424137174,20100.784140625434,28.73345781296123,236.97363280418966,154.94979553423423,-0.0
662,662.0,36.31646721450242,20129.50792925532,28.714159694818267,237.5360859448459,127.98119118342245,0.0
663,663.0,36.92811734464568,20158.239954880337,28.74981850359626,237.9837672517665,137.90222379648972,-0.0
664,664.0,35.66536414997238,20186.997980483342,28.76619846581688,238.3669302479322,129.37132794085755,-0.0
665,665.0,36.27090672183842,20215.781156993406,28.800084924781626,238.65050812419406,152.53797805991277,0.0
666,666.0,36.248684396336266,20244.57521997434,28.788065967881565,238.94324417358212,141.207028771494,0.0
667,667.0,35.73582037386309,20273.368914197108,28.79929910114442,239.19263849850535,141.77631811486344,0.0
668,668.0,38.54025447993744,20302.173451458544,28.809753658077913,239.40313617889063,156.69247358030424,0.0
669,669.0,39.22319900334564,20330.973734195042,28.790851357018365,239.64271804289973,160.46977843856723,0.0
670,670.0,39.045795703087244,20359.751712316363,28.765158995527848,239.92473934325218,160.4184784485544,-0.0
671,671.0,40.26510917777068,20388.504493547192,28.740455410062328,240.2443518025571,165.70441327775,0.0
672,672.0,42.33206337065295,20417.227782993632,28.706195851869808,240.62056679859603,198.36371490846113,-0.0
673,673.0,42.194742471683455,20445.88488507538,28.60821392756166,241.19229640096373,181.5518146369544,-0.0
674,674.0,40.998527971017765,20474.461935966126,28.54601751887568,241.8674232232392,180.2409981192455,0.0
675,675.0,42.64663218754892,20502.979161027484,28.488552054861444,242.62895208912613,202.56065689755363,0.0
676,676.0,41.80613677430335,20531.417815696797,28.388964660032947,243.5657986417268,190.82349755732588,-0.0
677,677.0,41.96924716044144,20559.770129783574,28.315815000280782,244.60791976504143,182.14494053292663,0.0
678,678.0,42.20528762062296,20588.059432720704,28.262899868429145,245.70346471626127,187.45385854322814,-0.0
679,679.0,42.82149772072564,20616.291955830686,28.202271151384956,246.86639987451667,188.52106629108906,-0.0
680,680.0,41.94911424203983,20644.46432407252,28.142587897722596,248.0904254322095,204.66184150825237,-0.0
681,681.0,42.55581388275479,20672.562526236965,28.053998478199485,249.4365596110327,187.4867617248412,0.0
682,682.0,43.2015954103812,20700.591133610727,28.003319616800724,250.81221133050127,188.01090057789753,-0.0
683,683.0,42.44780604897581,20728.570224266845,27.954960078279573,252.2103484597282,187.5865942682658,0.0
684,684.0,42.54429399576962,20756.50306955055,27.91082002707764,253.62011245368603,200.69505995600295,-0.0
685,685.0,42.15989660488399,20784.380397123787,27.84397106938477,255.0917427492025,184.48105357019656,0.0
686,686.0,41.758863477050475,20812.208900042107,27.813097857066833,256.5406580142876,182.40034627133682,-0.0
687,687.0,40.45163207338721,20840.01023499181,27.789619752976915,257.9516861012142,164.22607168104506,-0.0
688,688.0,38.795274750782724,20867.80774056516,27.80535957319248,259.23919903035096,164.95337959801392,-0.0
689,689.0,37.27945860564221,20895.62144701061,27.8220195917106,260.40887754934715,147.54877434953627,-0.0
690,690.0,36.78202741754125,20923.470208105824,27.87539452136134,261.3857881037522,148.8411845004047,-0.0
691,691.0,35.394871494044786,20951.371700782063,27.927485165768864,262.1849297185847,131.14069546779243,-0.0
692,692.0,35.57477579636136,20979.34338516536,28.015703455975242,262.73656419994336,142.62949202043666,-0.0
